Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.74654    0.00006     0.00005     0.00000     124.31669   14.00414    
-0.74214    0.00005     0.00005     0.00000     145.19631   18.84381    
-0.73902    0.00005     0.00005     0.00000     113.21603   21.68737    
-0.73591    0.00006     0.00005     0.00000     113.45719   18.93787    
-0.73389    0.00006     0.00005     0.00001     102.87861   28.10897    
-0.73004    0.00005     0.00005     0.00000     138.97729   25.09946    
-0.72601    0.00006     0.00006     0.00000     133.73916   15.74302    
-0.72069    0.00005     0.00005     0.00000     145.43096   14.97479    
-0.71830    0.00005     0.00005     0.00000     113.74876   23.31155    
-0.71574    0.00006     0.00005     0.00000     122.89143   17.83247    
-0.71262    0.00006     0.00006     0.00000     118.68216   24.72267    
-0.70914    0.00005     0.00005     0.00000     121.34115   18.29536    
-0.70877    0.00005     0.00005     0.00000     121.96905   17.36238    
-0.70547    0.00005     0.00005     0.00000     130.18081   16.93013    
-0.70144    0.00006     0.00006     0.00001     141.93342   32.12159    
-0.69777    0.00005     0.00005     0.00000     97.32973    20.41702    
-0.69337    0.00006     0.00005     0.00000     114.57543   26.42019    
-0.68879    0.00006     0.00006     0.00000     119.30996   22.11607    
-0.68603    0.00005     0.00005     0.00000     112.32548   18.17134    
-0.68328    0.00005     0.00005     0.00000     106.24764   23.77980    
-0.68035    0.00005     0.00005     0.00001     90.87705    27.87549    
-0.67742    0.00005     0.00005     0.00001     107.56170   28.69325    
-0.67558    0.00005     0.00005     0.00000     136.84410   25.96725    
-0.66953    0.00006     0.00005     0.00000     117.75205   24.82294    
-0.66532    0.00005     0.00005     0.00000     152.24604   22.26976    
-0.66385    0.00005     0.00005     0.00000     153.21564   17.42819    
-0.66147    0.00005     0.00005     0.00000     98.50199    11.00227    
-0.65927    0.00005     0.00006     0.00000     139.93234   14.83076    
-0.65670    0.00006     0.00005     0.00000     128.48927   22.66193    
-0.65340    0.00006     0.00005     0.00001     96.58873    23.96028    
-0.64588    0.00006     0.00006     0.00000     142.17969   12.09541    
-0.64001    0.00006     0.00005     0.00001     96.29153    28.22676    
-0.63598    0.00006     0.00006     0.00000     114.33531   14.30257    
-0.63250    0.00005     0.00005     0.00000     94.50767    19.23856    
-0.63030    0.00005     0.00005     0.00000     114.01828   22.54408    
-0.62370    0.00006     0.00005     0.00001     81.53496    25.88475    
-0.61801    0.00006     0.00005     0.00000     125.30299   25.64345    
-0.61654    0.00005     0.00005     0.00000     120.79176   17.01166    
-0.61379    0.00005     0.00005     0.00000     100.43657   19.12786    
-0.61049    0.00006     0.00005     0.00001     96.16579    23.52090    
-0.60738    0.00006     0.00005     0.00001     92.65143    27.28706    
-0.60609    0.00006     0.00005     0.00000     122.63874   25.32227    
