Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.40879    0.00006     0.00006     0.00000     114.23757   16.09483    
-0.40311    0.00006     0.00005     0.00001     95.91351    31.92582    
-0.39908    0.00006     0.00006     0.00000     104.76355   18.24569    
-0.39724    0.00006     0.00006     0.00000     107.24126   20.34999    
-0.39596    0.00006     0.00006     0.00000     97.36949    14.60614    
-0.39394    0.00006     0.00005     0.00001     81.00795    19.36486    
-0.38789    0.00006     0.00006     0.00001     99.71041    21.27558    
-0.38441    0.00006     0.00005     0.00001     96.27883    24.61290    
-0.37927    0.00007     0.00006     0.00000     102.12467   13.93558    
-0.37652    0.00006     0.00005     0.00001     85.66020    19.06951    
-0.37212    0.00006     0.00005     0.00000     124.69119   18.31396    
-0.37011    0.00006     0.00006     0.00000     104.02352   20.34159    
-0.36919    0.00006     0.00006     0.00000     96.31950    18.28353    
-0.36626    0.00006     0.00005     0.00001     92.59699    24.54213    
-0.36296    0.00006     0.00006     0.00001     100.61395   24.22935    
-0.36149    0.00006     0.00006     0.00001     113.16278   24.52523    
-0.35837    0.00007     0.00006     0.00001     96.57735    22.01602    
-0.35452    0.00006     0.00005     0.00000     101.69181   20.72178    
-0.35250    0.00006     0.00006     0.00000     110.33723   10.81441    
-0.35140    0.00006     0.00006     0.00000     102.69804   9.33835     
-0.34700    0.00006     0.00006     0.00000     101.98245   15.68116    
-0.34407    0.00006     0.00006     0.00000     117.57280   12.25841    
-0.34114    0.00007     0.00006     0.00001     96.07415    20.24926    
-0.33655    0.00007     0.00006     0.00000     127.29982   17.78344    
-0.33197    0.00006     0.00006     0.00000     122.46194   19.87218    
-0.32757    0.00006     0.00006     0.00000     131.23034   20.27962    
-0.32335    0.00006     0.00006     0.00000     115.57978   21.84612    
-0.32152    0.00006     0.00006     0.00000     122.40504   12.63294    
-0.31547    0.00007     0.00006     0.00001     95.80009    25.64294    
-0.31107    0.00006     0.00006     0.00001     97.56100    20.59356    
-0.30813    0.00006     0.00006     0.00000     109.95683   17.40719    
-0.30685    0.00006     0.00006     0.00001     91.68698    20.99766    
-0.30373    0.00006     0.00006     0.00000     142.43408   14.25000    
-0.30263    0.00006     0.00006     0.00000     119.00938   14.87431    
-0.29933    0.00006     0.00005     0.00000     92.40753    16.86587    
-0.29805    0.00005     0.00005     0.00000     107.66738   8.68063     
-0.29677    0.00006     0.00005     0.00000     71.38497    12.96337    
-0.29090    0.00007     0.00006     0.00000     116.19685   18.00334    
-0.28925    0.00006     0.00006     0.00000     127.73506   9.30424     
-0.28613    0.00006     0.00006     0.00000     149.03189   13.12946    
-0.28301    0.00007     0.00006     0.00001     102.79201   19.55180    
-0.28191    0.00006     0.00006     0.00000     105.54420   20.73387    
-0.27861    0.00006     0.00006     0.00000     91.59182    14.15356    
-0.27733    0.00006     0.00005     0.00000     96.88208    20.40782    
-0.27421    0.00006     0.00006     0.00001     88.29283    22.36414    
-0.27293    0.00006     0.00006     0.00000     114.98269   23.39388    
-0.26853    0.00006     0.00006     0.00000     125.92229   10.03850    
-0.26670    0.00006     0.00006     0.00000     108.85067   17.99991    
-0.26541    0.00006     0.00005     0.00000     85.92569    17.70779    
-0.26395    0.00006     0.00006     0.00000     88.71890    14.11026    
-0.26083    0.00006     0.00005     0.00001     82.47043    18.13523    
-0.25789    0.00006     0.00005     0.00000     83.35223    15.93679    
-0.25643    0.00006     0.00006     0.00000     82.31070    15.27082    
-0.25496    0.00006     0.00006     0.00000     110.04538   18.44241    
-0.25221    0.00007     0.00006     0.00001     84.09917    22.54844    
-0.25056    0.00006     0.00006     0.00000     87.24482    15.86716    
-0.24928    0.00006     0.00006     0.00000     84.21093    15.83794    
-0.24763    0.00006     0.00006     0.00000     81.35405    17.35875    
-0.24616    0.00006     0.00006     0.00001     76.81489    19.91713    
-0.24488    0.00006     0.00005     0.00000     75.94385    13.22940    
-0.24304    0.00006     0.00006     0.00000     99.13843    12.55393    
-0.24011    0.00007     0.00006     0.00000     103.38917   16.58194    
-0.23718    0.00006     0.00006     0.00000     104.78939   12.90995    
-0.23589    0.00006     0.00006     0.00000     117.59600   8.67859     
-0.23424    0.00006     0.00005     0.00000     89.42091    20.03091    
-0.23296    0.00006     0.00005     0.00000     89.61540    17.80086    
-0.23003    0.00006     0.00006     0.00000     111.26218   5.89969     
-0.22819    0.00006     0.00006     0.00000     83.47001    13.99226    
-0.22691    0.00006     0.00006     0.00000     97.91534    13.67767    
-0.22562    0.00006     0.00006     0.00000     104.35503   15.35654    
-0.22397    0.00006     0.00006     0.00000     97.55788    16.43458    
-0.22251    0.00006     0.00006     0.00000     87.59816    13.83842    
-0.22122    0.00005     0.00005     0.00000     99.98834    12.56035    
-0.21939    0.00005     0.00005     0.00000     79.79752    10.15450    
-0.21756    0.00006     0.00006     0.00000     88.03608    14.12502    
-0.21664    0.00006     0.00006     0.00000     107.40341   14.84497    
-0.21517    0.00006     0.00006     0.00000     102.68506   16.46630    
-0.21206    0.00006     0.00006     0.00000     92.16994    13.38261    
-0.21059    0.00006     0.00005     0.00001     85.07262    19.67753    
-0.20912    0.00006     0.00006     0.00000     111.75288   14.64921    
-0.20766    0.00006     0.00006     0.00000     106.54231   17.80517    
-0.20619    0.00006     0.00006     0.00000     103.44861   12.64975    
-0.20472    0.00006     0.00006     0.00000     111.73645   17.79408    
-0.20161    0.00006     0.00006     0.00000     83.81988    10.75965    
-0.19904    0.00006     0.00006     0.00000     88.07999    14.20838    
-0.19574    0.00007     0.00006     0.00000     104.26858   18.50378    
